policy,target,train_seed,unsafe_rate,false_alarm_rate,realized_escalation,conditional_risk,miss_rate
classifier_conf,0.05,4101,0.1607365361704594,0.02739057946731438,0.054566666666666666,0.24884520668000715,0.24078014290050517
classifier_conf,0.05,4201,0.16307948493637095,0.027323356902563777,0.0502,0.25127362659721886,0.24531787098639013
classifier_conf,0.05,4301,0.16544785524795896,0.02688722460406597,0.04806666666666667,0.2535094050626805,0.24964488031135074
classifier_conf,0.1,4101,0.14924143427280945,0.01657340738166242,0.10563333333333333,0.23628457739684497,0.21944963113077157
classifier_conf,0.1,4201,0.15044834132223725,0.01626182645988604,0.10346666666666667,0.23757085693673696,0.22174756621688638
classifier_conf,0.1,4301,0.1540868624877559,0.01587585477256299,0.09796666666666666,0.2410174356009378,0.22824123170611396
classifier_conf,0.2,4101,0.12961565657734841,0.007304284170259779,0.2033,0.21662162116508213,0.18593965305733356
classifier_conf,0.2,4201,0.13031637189532994,0.007541763199560916,0.19656666666666667,0.21741939612687727,0.18725927577417018
classifier_conf,0.2,4301,0.13193282121215433,0.006840294669509353,0.20106666666666667,0.2190975959055856,0.18997247784388838
conservative_and,0.05,4101,0.0026338868427771053,0.03743564813356454,0.04506439393939394,0.009873545957128388,0.00431322655040185
conservative_and,0.05,4201,0.0025762470843863437,0.03725622351787117,0.04568939393939394,0.009691939116228074,0.004210092649569345
conservative_and,0.05,4301,0.002795620578588988,0.037773787126384566,0.04336363636363637,0.01038031627424314,0.004604387753715595
conservative_and,0.1,4101,0.0005673177982517977,0.02787672115049747,0.08902575757575758,0.0028088493999791683,0.0007521467651572871
conservative_and,0.1,4201,0.0006092945535091614,0.02833021359255069,0.08609166666666668,0.002997265166288601,0.0008134363549241614
conservative_and,0.1,4301,0.0006358737058393167,0.028529906710494293,0.08461590909090909,0.003107250158755911,0.0008518953402040954
conservative_and,0.2,4101,9.583467920573562e-05,0.015041229862522215,0.17156363636363636,0.00044050082506480226,0.00012546778036257803
conservative_and,0.2,4201,0.0001049855991541947,0.01576462591826743,0.16594772727272727,0.00048667654885376974,0.0001372618781137076
conservative_and,0.2,4301,0.00010265286102391743,0.015431057006382415,0.16801363636363637,0.0004711883905967568,0.00013434079890020835
error_ratio,0.05,4101,0.1611338247240854,0.032085940061242435,0.05393333333333333,0.25122545008148695,0.24320054278869094
error_ratio,0.05,4201,0.1605756342198161,0.032657975653873295,0.05573333333333333,0.25092058750220775,0.24225886788881795
error_ratio,0.05,4301,0.16194598205996186,0.03350992726070814,0.05006666666666667,0.2521866391200018,0.24472324052854505
error_ratio,0.1,4101,0.1484700810319397,0.024165468324483845,0.1027,0.23866228327230274,0.22058572741880023
error_ratio,0.1,4201,0.14743092836178168,0.024679225320719884,0.10356666666666667,0.237855178093442,0.2189497936802898
error_ratio,0.1,4301,0.14961357003788694,0.02545609475385808,0.09736666666666666,0.23995956635070703,0.2227855370269682
error_ratio,0.2,4101,0.12375478284703875,0.010530771578072364,0.2123,0.21402533584756572,0.17946160595392785
error_ratio,0.2,4201,0.12464933500984572,0.013555713124081022,0.19723333333333334,0.21525901443742665,0.18102306293543394
error_ratio,0.2,4301,0.12590355871538575,0.013463395442305843,0.2008,0.21660837689638646,0.18312075336805417
nn_approval_signed_physics,0.05,4101,0.0007791941973108569,0.04501205050261633,0.21043030303030305,0.0037963131083812137,0.001083740468924034
nn_approval_signed_physics,0.05,4201,0.000985249396382741,0.04500690746112897,0.2071469696969697,0.004582024346403516,0.0014159522860524212
nn_approval_signed_physics,0.05,4301,0.0009425710862678993,0.044642320999857425,0.2082113636363636,0.004401641032669723,0.0013489083505290962
nn_approval_signed_physics,0.1,4101,0.00018333807946617652,0.04501205050261633,0.24459999999999998,0.0009078227973034901,0.0002383090508816121
nn_approval_signed_physics,0.1,4201,0.00019249504376012727,0.04500690746112897,0.2418621212121212,0.0009597106679663924,0.00024991900602889015
nn_approval_signed_physics,0.1,4301,0.00019097989224497574,0.044642320999857425,0.24219242424242424,0.0009508773152291795,0.0002480289758234697
nn_approval_signed_physics,0.2,4101,1.1429691566677273e-05,0.04501205050261633,0.3156515151515151,5.708012079806591e-05,1.4927525395098485e-05
nn_approval_signed_physics,0.2,4201,1.1429691566677273e-05,0.04500690746112897,0.3146568181818182,5.708771785746288e-05,1.4927525395098485e-05
nn_approval_signed_physics,0.2,4301,1.1429691566677273e-05,0.044642320999857425,0.3165022727272727,5.7044923445118934e-05,1.4927525395098485e-05
nn_margin,0.05,4101,0.161012293349916,0.03457838809698214,0.05353333333333333,0.25181130160447185,0.24352710579126693
nn_margin,0.05,4201,0.16075483903108664,0.03417465854377655,0.055,0.25149728403706567,0.24301410291526518
nn_margin,0.05,4301,0.16250915839596497,0.03554783160676064,0.048100000000000004,0.25329047705734015,0.2462938105610837
nn_margin,0.1,4101,0.14750137681456943,0.02626415570076011,0.1056,0.2385267804645763,0.2196810358050416
nn_margin,0.1,4201,0.1487236854766464,0.027058238481175115,0.10089999999999999,0.23974304410539363,0.2217920767693355
