policy,target,topology_id,unsafe_rate,false_alarm_rate,realized_escalation,conditional_risk,miss_rate
classifier_conf,0.05,close32_open01,0.47725555555555554,0.046668750336316026,0.050944444444444445,0.737441349431254,0.5807512721843486
classifier_conf,0.05,close32_open03,0.31427777777777777,0.006411561418622378,0.050944444444444445,0.48723816655707963,0.47106784814799735
classifier_conf,0.05,close32_open04,0.30233333333333334,0.005143784525621089,0.050944444444444445,0.4691665693568786,0.4607393973676237
classifier_conf,0.05,close32_open05,0.0005555555555555556,0.06580551414618296,0.050944444444444445,0.0008296561211129777,0.001957319578633711
classifier_conf,0.05,close32_open06,0.004266666666666667,0.09432878993331364,0.050944444444444445,0.006416467528308211,0.015791680308414487
classifier_conf,0.05,close32_open18,0.018455555555555555,0.0003743646222044,0.050944444444444445,0.028794967690134052,0.0488831898758861
classifier_conf,0.05,close32_open19,0.009077777777777777,0.0010702242304614555,0.050944444444444445,0.0141283343117131,0.024787799911119367
classifier_conf,0.05,close33_open08,0.0005111111111111111,0.0062943425997831785,0.050944444444444445,0.0007637047917981,0.0015631631967771666
classifier_conf,0.05,close33_open10,6.666666666666667e-05,0.010590917740004513,0.050944444444444445,9.929377549421111e-05,0.0002075049239707
classifier_conf,0.05,close33_open13,6.666666666666667e-05,0.01366936266627341,0.050944444444444445,9.919069216862223e-05,0.0002092996760361222
classifier_conf,0.05,close34_open01,0.6110590754257988,0.13053007223409654,0.050944444444444445,0.8791433521648662,0.6764082891544428
classifier_conf,0.05,close34_open02,0.4782555555555555,0.05035920854733292,0.050944444444444445,0.7373400790089447,0.5828029486253795
classifier_conf,0.05,close34_open04,0.44283333333333336,0.03254100397609656,0.050944444444444445,0.6834531756187083,0.5619644747573722
classifier_conf,0.05,close34_open06,0.0011444444444444445,0.10649549985110117,0.050944444444444445,0.0017016973310594779,0.004604724426332622
classifier_conf,0.05,close34_open07,0.008611111111111111,0.08307406530027998,0.050944444444444445,0.012957699154033067,0.030262814554573986
classifier_conf,0.05,close34_open08,0.011611111111111112,0.0751788542897672,0.050944444444444445,0.017511802078662278,0.03928107112404523
classifier_conf,0.05,close34_open09,0.015888888888888886,0.06751917249000555,0.050944444444444445,0.02402224041899699,0.05163891610302069
classifier_conf,0.05,close34_open10,0.020233333333333336,0.06103982251135609,0.050944444444444445,0.030647085090527746,0.06353388206302994
classifier_conf,0.05,close34_open17,0.07616666666666666,0.0003356250144885111,0.050944444444444445,0.11929666731913498,0.17404488587918165
classifier_conf,0.05,close34_open18,0.043588888888888885,0.0003918427598343667,0.050944444444444445,0.0683103560775063,0.10753052926561961
classifier_conf,0.05,close34_open19,0.02458888888888889,0.0009404433909769778,0.050944444444444445,0.03847532037030374,0.06384168270633034
classifier_conf,0.05,close35_open05,0.42146666666666666,0.03803848909353733,0.050944444444444445,0.6497305207043206,0.5517961979488628
classifier_conf,0.05,close35_open06,0.33493333333333336,0.020609137413864744,0.050944444444444445,0.5168059810481928,0.49234903388309154
classifier_conf,0.05,close35_open08,0.19441111111111112,0.005019702977322311,0.050944444444444445,0.3009924702240183,0.35590844499220364
classifier_conf,0.05,close35_open09,0.16540000000000002,0.0033923871673679227,0.050944444444444445,0.25613488830518355,0.3192752702592355
classifier_conf,0.05,close35_open10,0.13973333333333335,0.002454643419674011,0.050944444444444445,0.21655205262647714,0.28329278217929826
classifier_conf,0.05,close35_open11,0.10662222222222223,0.0023957139386351777,0.050944444444444445,0.16553488748468684,0.23113625418629521
classifier_conf,0.05,close35_open12,0.10596666666666667,0.01099063412933919,0.050944444444444445,0.16320023573520992,0.23510014433994902
classifier_conf,0.05,close35_open13,0.041355555555555555,0.007720717585793433,0.050944444444444445,0.06333519503713789,0.1077603306572591
classifier_conf,0.05,close35_open14,0.02092222222222222,0.006278415946330333,0.050944444444444445,0.03198538761634022,0.05763138323061834
classifier_conf,0.05,close35_open15,0.008122222222222222,0.004582925352837556,0.050944444444444445,0.012362477820522966,0.02332004605428822
classifier_conf,0.05,close35_open16,0.007877777777777779,0.0033158217559244,0.050944444444444445,0.011956666857924389,0.022709133983775668
classifier_conf,0.05,close35_open24,0.42812222222222224,0.018815122095044223,0.050944444444444445,0.6644677450497908,0.5490979958455052
classifier_conf,0.05,close35_open25,0.4094,0.01424331416647772,0.050944444444444445,0.6361304606974048,0.5369489410160598
classifier_conf,0.05,close35_open26,0.39166666666666666,0.010130755133604032,0.050944444444444445,0.60916398217258,0.5249127085262923
classifier_conf,0.05,close35_open27,0.37356666666666666,0.0070555534478440336,0.050944444444444445,0.5818836349943156,0.5119345665318892
classifier_conf,0.05,close35_open29,0.15122222222222223,0.0017642738316625223,0.050944444444444445,0.23785306557944277,0.29386121327096815
classifier_conf,0.05,close36_open03,0.29552222222222224,0.0057498985704862665,0.050944444444444445,0.45924896669376586,0.454615798996088
classifier_conf,0.05,close36_open04,0.2830333333333333,0.004431352392891433,0.050944444444444445,0.4404011071791959,0.44307768887947074
classifier_conf,0.05,close36_open21,0.2039,0.0009599384781383666,0.050944444444444445,0.3168042250194058,0.36419184419485523
classifier_conf,0.05,close36_open22,0.17204444444444444,0.0007306210203581999,0.050944444444444445,0.2676176803300516,0.3253310783685474
classifier_conf,0.05,close36_open23,0.05832222222222223,0.0004581191824738889,0.050944444444444445,0.09111790721496264,0.13949888595700127
classifier_conf,0.05,close36_open24,0.0009444444444444445,0.08041425552300499,0.050944444444444445,0.0014048940988062445,0.0034937874938730557
classifier_conf,0.05,close36_open25,0.00046666666666666666,0.08850201241111627,0.050944444444444445,0.0006925549402084445,0.0017795569487114556
classifier_conf,0.1,close32_open01,0.45883333333333337,0.01731557687350658,0.10235555555555556,0.7237178016483221,0.5583313085571386
classifier_conf,0.1,close32_open03,0.29666666666666663,0.0009373630403156556,0.10235555555555556,0.47146937873502826,0.44467020304355526
classifier_conf,0.1,close32_open04,0.2846444444444444,0.0005809063037720556,0.10235555555555556,0.453043106303817,0.4337823333207796
classifier_conf,0.1,close32_open05,8.888888888888888e-05,0.0463520897091493,0.10235555555555556,0.00013009662467484444,0.0003125549823156222
classifier_conf,0.1,close32_open06,0.0010888888888888888,0.0738191420309411,0.10235555555555556,0.0016091315450001112,0.004027087020525577
classifier_conf,0.1,close32_open18,0.008799999999999999,0.00016019602378016667,0.10235555555555556,0.013940125183674767,0.02330351391800509
classifier_conf,0.1,close32_open19,0.002644444444444444,0.0003335252439370111,0.10235555555555556,0.004156437654872367,0.007214647951784878
