policy,physics_variant,target,unsafe_rate,unsafe_rate_worst_topology,unsafe_rate_seed_min,unsafe_rate_seed_max,false_alarm_rate,false_alarm_rate_worst_topology,false_alarm_rate_seed_min,false_alarm_rate_seed_max,realized_escalation,realized_escalation_worst_topology,realized_escalation_seed_min,realized_escalation_seed_max,conditional_risk,conditional_risk_worst_topology,conditional_risk_seed_min,conditional_risk_seed_max,miss_rate,miss_rate_worst_topology,miss_rate_seed_min,miss_rate_seed_max,topologies,rows,unsafe_model_evaluations,false_alarm_model_evaluations,resolved_model_evaluations
classifier_conf,not_applicable,0.05,0.16308795878492977,0.6110590754257988,0.1607365361704594,0.16544785524795896,0.027200386991314707,0.13053007223409654,0.02688722460406597,0.02739057946731438,0.05094444444444443,0.050944444444444445,0.04806666666666667,0.054566666666666666,0.2512094127799689,0.8791433521648662,0.24884520668000715,0.2535094050626805,0.24524763139941538,0.6764082891544428,0.24078014290050517,0.24964488031135074,44,396,641584,57833,3953055
classifier_conf,not_applicable,0.1,0.1512588793609342,0.5895906918811052,0.14924143427280945,0.1540868624877559,0.01623702953803715,0.08629395474019469,0.01587585477256299,0.01657340738166242,0.10235555555555555,0.10235555555555556,0.09796666666666666,0.10563333333333333,0.23829095664483993,0.867453291663531,0.23628457739684497,0.2410174356009378,0.223146143017924,0.6526422849087781,0.21944963113077157,0.22824123170611396,44,396,594890,38906,3953055
classifier_conf,not_applicable,0.2,0.1306216165616109,0.5414511287108793,0.12961565657734841,0.13193282121215433,0.007228780679776683,0.05452357752369465,0.006840294669509353,0.007541763199560916,0.20031111111111108,0.2003111111111111,0.19656666666666667,0.2033,0.2177128710658483,0.8499758801354685,0.21662162116508213,0.2190975959055856,0.18772380222513074,0.5993545937161532,0.18593965305733356,0.18997247784388838,44,396,513501,19912,3953055
conservative_and,branch_noise_10pct,0.05,0.003117099477432361,0.013311111111111112,0.0030419134401204265,0.00322562086285946,0.037378545137832675,0.17611848608161085,0.03716618298675811,0.03760962445606861,0.0447449494949495,0.05574444444444445,0.043406818181818185,0.04572045454545454,0.011341684596447828,0.06184725711814197,0.011106291419990805,0.011666078027128686,0.0052805028253963306,0.020700103228403932,0.005138371625813986,0.005488189231341703,44,396,12312,73712,3953055
conservative_and,branch_noise_10pct,0.1,0.0010636350528838866,0.0074444444444444445,0.00100254103336186,0.0011135332720646023,0.028366362918222518,0.15094671144017932,0.027930883334351703,0.02868780633256816,0.08646363636363637,0.10906666666666667,0.08446666666666666,0.08889090909090909,0.004486640387511441,0.034983496676698825,0.0042458483368132,0.004672431562623342,0.00156277703690366,0.0094516493529475,0.0014658994474994562,0.0016446288292339727,44,396,4201,56231,3953055
conservative_and,branch_noise_10pct,0.2,0.0001767012284332924,0.0016555555555555555,0.00017064062237268638,0.00018200425873632272,0.015317257597759348,0.10635784904344486,0.014932541043327564,0.01566958536588137,0.1681237373737374,0.21706666666666666,0.16561287878787878,0.1711348484848485,0.0008006673094546547,0.006991764159666867,0.0007747721637705552,0.0008245566349957431,0.0002305893303539596,0.0021722745124325336,0.0002224321553770182,0.00023757981572254997,44,396,699,29943,3953055
conservative_and,current,0.05,0.002668584835250812,0.008366666666666668,0.0025762470843863437,0.002795620578588988,0.03748855292594009,0.17713093528618096,0.03725622351787117,0.037773787126384566,0.04470580808080809,0.05581111111111111,0.04336363636363637,0.04568939393939394,0.009981933782533202,0.060672228785227315,0.009691939116228074,0.01038031627424314,0.004375902317895596,0.011041618324507644,0.004210092649569345,0.004604387753715595,44,396,10532,74532,3953055
conservative_and,current,0.1,0.0006041620192000919,0.0041,0.0005673177982517977,0.0006358737058393167,0.028245613817847483,0.15256408462092916,0.02787672115049747,0.028529906710494293,0.08657777777777777,0.10824444444444443,0.08461590909090909,0.08902575757575758,0.002971121575007894,0.026471281764183324,0.0028088493999791683,0.003107250158755911,0.0008058261534285148,0.005502543832543411,0.0007521467651572871,0.0008518953402040954,44,396,2377,56244,3953055
conservative_and,current,0.2,0.00010115771312794922,0.0011555555555555555,9.583467920573562e-05,0.0001049855991541947,0.01541230426239069,0.10724287724903432,0.015041229862522215,0.01576462591826743,0.16850833333333334,0.21534444444444445,0.16594772727272727,0.17156363636363636,0.0004661219215051096,0.004552349250923878,0.00044050082506480226,0.00048667654885376974,0.00013235681912549799,0.0015504917619996556,0.00012546778036257803,0.0001372618781137076,44,396,399,30389,3953055
conservative_and,impedance_0.8,0.05,0.05958504069313138,0.12980000000000003,0.059387206460714416,0.05983948598850802,0.040749105256257245,0.18275779902038702,0.04069188457040539,0.04082974298681745,0.047085858585858585,0.05764444444444445,0.045654545454545455,0.04810681818181818,0.1389114246944192,0.393610163703878,0.1385383631668816,0.13940248894710408,0.10684162920087416,0.2423368327687088,0.10648722833183706,0.10727937967654803,44,396,235601,83255,3953055
