policy,target,unsafe_rate,unsafe_rate_worst_topology,unsafe_rate_seed_min,unsafe_rate_seed_max,false_alarm_rate,false_alarm_rate_worst_topology,false_alarm_rate_seed_min,false_alarm_rate_seed_max,realized_escalation,realized_escalation_worst_topology,realized_escalation_seed_min,realized_escalation_seed_max,conditional_risk,conditional_risk_worst_topology,conditional_risk_seed_min,conditional_risk_seed_max,miss_rate,miss_rate_worst_topology,miss_rate_seed_min,miss_rate_seed_max,topologies,rows,unsafe_model_evaluations,false_alarm_model_evaluations,resolved_model_evaluations
classifier_conf,0.05,0.1633489873041267,0.6114221080482407,0.1618367291005408,0.1650815872712986,0.027536217715819353,0.13171688642185556,0.026285834856230973,0.028996931955742267,0.04999999999999998,0.05,0.05,0.05,0.25150155821630976,0.8793442471628045,0.2501302599113579,0.253048940517368,0.24571776423328756,0.6768086080432049,0.24282924788103652,0.24890108225757857,44,396,642615,58415,3953055
classifier_conf,0.1,0.15169345478895926,0.5905675662697627,0.15033164590351678,0.15363472482377044,0.01670285622362755,0.08715419708426261,0.01557149237077294,0.017637373492241638,0.09999999999999996,0.1,0.1,0.1,0.23876986430846278,0.8680624494205559,0.23746604715258626,0.2405641537527812,0.22392582129244024,0.6537236148078421,0.2214085195298373,0.22742581687653385,44,396,596604,39656,3953055
classifier_conf,0.2,0.13060699547368743,0.5414300230644677,0.12939516788596464,0.1321816139421383,0.007254301707322012,0.0546593992125773,0.006856951711006559,0.007534012777298282,0.19999999999999993,0.2,0.2,0.2,0.21770237844989782,0.8499766154834687,0.21650167735846523,0.2193583186321624,0.18768757546171208,0.5993323119541576,0.1857150719027337,0.19039813137232472,44,396,513443,19965,3953055
classifier_conf,0.3,0.11076372609690523,0.4799372815971636,0.11037836363819413,0.11120007525028211,0.003396836581279272,0.03216664586313169,0.0031970706515887476,0.003581870603706354,0.30000000000000004,0.3,0.3,0.3,0.19816798072406963,0.8325925791674257,0.19779889336935746,0.19845449632507312,0.15620496533591147,0.5312659508274944,0.15563135221921048,0.1567315506004936,44,396,435291,9643,3953055
conservative_and,0.05,0.0016381309199999703,0.005266666666666666,0.0016373733442423947,0.001639646071515122,0.033474223807377565,0.11924722460144015,0.03341333796335122,0.03352454309481718,0.04999999999999998,0.05,0.05,0.05,0.004602259662250283,0.017448976729361056,0.0046009218561512,0.004604699960259611,0.0030753173845960826,0.009826928329565934,0.0030727188365154865,0.003080514480757275,44,396,6486,72422,3953055
conservative_and,0.1,0.00012954545454545453,0.0013,0.00012954545454545456,0.00012954545454545456,0.021802736270701853,0.09959240222202564,0.021747464262435925,0.021832624289247395,0.09999999999999996,0.1,0.1,0.1,0.00046021130620341904,0.005117685865427567,0.00046018947198128333,0.0004602466291593773,0.00019814512224738408,0.0017448504556023666,0.00019814512224738408,0.00019814512224738408,44,396,513,52445,3953055
conservative_and,0.2,0.0,0.0,0.0,0.0,0.009929049708308511,0.06406578308108983,0.00992288710057449,0.009934816821830922,0.19999999999999993,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,396,0,27032,3953055
conservative_and,0.3,0.0,0.0,0.0,0.0,0.0046219179839516586,0.03734678821530433,0.004609213764047191,0.004639720776652892,0.30000000000000004,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,396,0,13135,3953055
error_ratio,0.05,0.16206033899451472,0.6025215824253143,0.16186092146138534,0.16224705530275985,0.033425765856670425,0.18261493183508884,0.03299227692291664,0.03369243001296152,0.04999999999999998,0.05,0.05,0.05,0.25230845663090096,0.8841130735714602,0.25211310692194755,0.2524310517469856,0.24493980607623414,0.6669578462376443,0.24457095721819674,0.2452139948993827,44,396,637574,65001,3953055
error_ratio,0.1,0.14887724138629452,0.5738541765525143,0.14848128449899065,0.14912466396050889,0.02486546294606685,0.15438545537106407,0.024446288005143785,0.025114834293872502,0.09999999999999996,0.1,0.1,0.1,0.23916117521229027,0.8753739839103162,0.23884206156694324,0.23938487482607898,0.22138760151275516,0.6352229531299325,0.22074487421549696,0.22174285364403845,44,396,585568,47819,3953055
error_ratio,0.2,0.12547694819461644,0.5145190538964572,0.1239493771055395,0.12641496426750592,0.012760481142188718,0.10181896460822729,0.01149082109337207,0.013420554363404716,0.19999999999999993,0.2,0.2,0.2,0.21599399780272588,0.8556788223145697,0.21455037004508115,0.21675372904359516,0.18232456020242668,0.5695428936678137,0.1798563413702432,0.1837393802823251,44,396,493315,24322,3953055
error_ratio,0.3,0.1046044114643578,0.4533163266539649,0.10203874892931433,0.10597596209245383,0.005787237500216727,0.05338660922502256,0.005030048733177098,0.0062116377956735105,0.30000000000000004,0.3,0.3,0.3,0.19445824785148383,0.8321029754696251,0.19178115446091848,0.19613572164083334,0.1493736565321184,0.5017958874273162,0.14535892130230857,0.15164267523734143,44,396,411085,11667,3953055
nn_approval_signed_physics,0.05,0.1409720845329928,0.5818050527850149,0.1409400648407978,0.14103534409981255,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.04999999999999998,0.05,0.05,0.05,0.23048041624991375,0.8842734058799172,0.23046665305900696,0.23050744558905448,0.20326058095578955,0.6440223490296044,0.20320353085179846,0.20336828469037474,44,396,554208,87944,3953055
nn_approval_signed_physics,0.1,0.11365381877196258,0.5276235815219091,0.11362609200906056,0.1137084924801965,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.09999999999999996,0.1,0.1,0.1,0.20231034788321478,0.8738880996985454,0.2022980932684053,0.20233450349554255,0.15820349163683853,0.5840461168719988,0.15815764343816674,0.15828879200636778,44,396,446404,87944,3953055
nn_approval_signed_physics,0.2,0.06924329735091232,0.4192606389956977,0.06921786555709558,0.06928660742278261,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.19999999999999993,0.2,0.2,0.2,0.14983061325557712,0.8463022217841897,0.14980841792156988,0.14985807302659393,0.09092996629828325,0.4640936525567876,0.09089422690498895,0.0909908645799173,44,396,271291,87944,3953055
nn_approval_signed_physics,0.3,0.03647722037430651,0.31089769646948634,0.03645658656028774,0.03651320721385356,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.30000000000000004,0.3,0.3,0.3,0.1005774197072216,0.8032681515877336,0.1005483061774695,0.10061969145604774,0.04604284623566679,0.3441411882415763,0.046015931751037,0.04609026515092616,44,396,142290,87944,3953055
nn_margin,0.05,0.16198366524832403,0.6001368264818111,0.16195319819911003,0.16200256668941307,0.03526271163473238,0.1877385071226543,0.035166654113160604,0.03531648258946507,0.04999999999999998,0.05,0.05,0.05,0.25278897153190677,0.8843494674312651,0.25275313512283587,0.2528119659364698,0.24532706220692296,0.664318242045326,0.2452547671756109,0.24539071916983232,44,396,637287,68109,3953055
nn_margin,0.1,0.14885873531330665,0.5696287982299377,0.148830256586255,0.14891189279993114,0.02728146371328637,0.16509188656427168,0.027234541567466717,0.027327578975623806,0.09999999999999996,0.1,0.1,0.1,0.2398975378881973,0.8759561143158162,0.2398559604363778,0.23996890215770203,0.2220240155467815,0.6305458027146921,0.22194984333625437,0.22215472864350136,44,396,585524,51552,3953055
nn_margin,0.2,0.1230225373909153,0.5047805340891629,0.12296865017882755,0.12309098792085743,0.015893773770762957,0.12472109595557906,0.015857625328974063,0.015961682268780215,0.19999999999999993,0.2,0.2,0.2,0.2141988709099005,0.8565093756670143,0.2141488051056325,0.21425361878723487,0.17851777985925696,0.5587634800273693,0.17843358609983406,0.17861487080523214,44,396,483663,28063,3953055
nn_margin,0.3,0.09850239316924378,0.43802752166894915,0.09848127246640338,0.0985433876341791,0.008012326246123018,0.08312412471506302,0.00798116868295449,0.008036210800007904,0.30000000000000004,0.3,0.3,0.3,0.18794949795403415,0.8317803281318369,0.1879145256462824,0.18800609075085545,0.13946757153255193,0.48487243679901204,0.13943363885323312,0.13953423780212693,44,396,387027,13167,3953055
nn_spread,0.05,0.1692456475877665,0.5953862716395039,0.16893641171880167,0.1696474743211853,0.039993715409690794,0.18400032676149924,0.038296981760737266,0.04130341846815206,0.04999999999999998,0.05,0.05,0.05,0.2611015426414657,0.8830381656374926,0.2610635897587169,0.2611770571783892,0.26033113021699145,0.6590579052688386,0.26003282591080235,0.260874544845756,44,396,666077,81529,3953055
nn_spread,0.1,0.1616201813137941,0.566899088918052,0.161132029599451,0.1623023298923275,0.03592943563907471,0.15921813605722648,0.03376451924189701,0.03721136584643221,0.09999999999999996,0.1,0.1,0.1,0.2548249901298465,0.8746368443394864,0.2547317579541031,0.25487176782947374,0.24829304703516,0.6275247990732467,0.24772635904179874,0.24908581044692674,44,396,636078,75203,3953055
nn_spread,0.2,0.14568924936086686,0.5137047496559197,0.14451330834504938,0.14702746760058308,0.029263956786814017,0.11492283777947349,0.02603227078593442,0.03128802176037058,0.19999999999999993,0.2,0.2,0.2,0.24118696402301062,0.8572654466596737,0.2405738200880446,0.24157397470504896,0.22309937093141155,0.5686408807816971,0.2214339121245799,0.22448236166322888,44,396,573361,64052,3953055
nn_spread,0.3,0.1304628106818327,0.46437478111174957,0.12870603251884338,0.13208221162674363,0.023412536947357353,0.09299733383557912,0.020352167350389194,0.02624439868342309,0.30000000000000004,0.3,0.3,0.3,0.22730490843939186,0.8388255707943855,0.2260063363757595,0.2280081391793905,0.199220252719648,0.5140340873391559,0.19639553802279097,0.20085724579380915,44,396,513407,53472,3953055
phy_d,0.05,0.14288269059359884,0.5818050527850149,0.14285218605291902,0.1429429198573883,0.02860165938312355,0.21214122543261477,0.028420582163380417,0.028697214517490466,0.04999999999999998,0.05,0.05,0.05,0.23328603793664218,0.8842734058799172,0.23327478009982897,0.23330783336918212,0.20942471713285524,0.6440223490296044,0.2093717062650234,0.20952676303526993,44,396,561774,42475,3953055
phy_d,0.1,0.11401947533761915,0.5276235815219091,0.1139904859484545,0.11407212884383287,0.019887118299577854,0.21214122543261477,0.01973885539514339,0.019975085374903844,0.09999999999999996,0.1,0.1,0.1,0.20288667377891179,0.8738880996985454,0.20287294065655442,0.2029070398645488,0.1591112990009523,0.5840461168719988,0.15905941021398615,0.15919373650387003,44,396,447852,17932,3953055
phy_d,0.2,0.06943572159333657,0.4192606389956977,0.06941483525406528,0.06947524378641898,0.018287657782166695,0.21214122543261477,0.01817649040740841,0.01836192237078624,0.19999999999999993,0.2,0.2,0.2,0.150214766855772,0.8463022217841897,0.15020184939696715,0.15023449649930662,0.09128750219187079,0.4640936525567876,0.09126020665433386,0.0913414885649347,44,396,272053,14594,3953055
phy_d,0.3,0.036788836535922666,0.31089769646948634,0.03677173807543925,0.03682154054718689,0.01680761848653462,0.21214122543261477,0.016718133637659113,0.016877499261608732,0.30000000000000004,0.3,0.3,0.3,0.10129723449233484,0.8032681515877336,0.10127652272504917,0.10133122589257651,0.04651539900538035,0.3441411882415763,0.04649387010787388,0.046557856221922364,44,396,143524,12435,3953055
phy_min,0.05,0.15814176497224203,0.5995487698897597,0.15809313139410577,0.15817003477810562,0.03356208490056772,0.1612319009154978,0.03354099624711174,0.03359992436669987,0.04999999999999998,0.05,0.05,0.05,0.24801861463080782,0.8809246958711426,0.24798384587954794,0.24804573997151155,0.23782210202646806,0.663666869818012,0.23774769634540066,0.23788880720490257,44,396,622077,68149,3953055
phy_min,0.1,0.1417610513556644,0.5677640374270121,0.14172762728875538,0.14179758437048845,0.023772384877394723,0.12662845277662177,0.02375699419236527,0.023801474440091175,0.09999999999999996,0.1,0.1,0.1,0.23094647873055274,0.870611711437427,0.23090932730729186,0.23097264205990176,0.20819830422870275,0.6284810076466858,0.20812945107427505,0.2082394778214771,44,396,557430,48701,3953055
phy_min,0.2,0.11527081753302149,0.5040604158973894,0.1152212158362891,0.11530335220543152,0.009893284958146996,0.06659623168062848,0.009864546747947628,0.009928253512208638,0.19999999999999993,0.2,0.2,0.2,0.20340287740456447,0.8482409849674374,0.20334759699494467,0.20343766007064007,0.1638613754651731,0.5579649401941915,0.1637835237434927,0.16390286859222084,44,396,452971,20566,3953055
phy_min,0.3,0.09196174386703829,0.4397389523719066,0.0919075787665293,0.09200120677366536,0.0028417985310203284,0.025665489213043433,0.002831164501839456,0.002856910277272722,0.30000000000000004,0.3,0.3,0.3,0.17789680098440017,0.8236690215778572,0.17782826267218046,0.17793269393891645,0.12736666880019584,0.48676669570478764,0.12728053016240473,0.12741114875013768,44,396,361114,5641,3953055
physics_approval_only,0.05,0.0005022727272727272,0.002033333333333333,0.0005022727272727273,0.0005022727272727273,0.0075224567256841355,0.03364991528136956,0.007522456725684136,0.007522456725684136,0.04999999999999998,0.05,0.05,0.05,0.0014073203798131279,0.008091635371161499,0.0014073203798131279,0.0014073203798131279,0.0009618236482064363,0.003588367014988033,0.0009618236482064364,0.0009618236482064364,44,396,1989,10569,3953055
physics_approval_only,0.1,9.090909090909091e-06,0.00016666666666666666,9.090909090909091e-06,9.090909090909091e-06,0.0075224567256841355,0.03364991528136956,0.007522456725684136,0.007522456725684136,0.099880303030303,0.1,0.09988030303030304,0.09988030303030304,3.630355862217651e-05,0.0006203425570356333,3.630355862217652e-05,3.630355862217652e-05,1.2246726644773484e-05,0.00022964276991763332,1.2246726644773484e-05,1.2246726644773484e-05,44,396,36,10569,3953055
physics_approval_only,0.2,0.0,0.0,0.0,0.0,0.0075224567256841355,0.03364991528136956,0.007522456725684136,0.007522456725684136,0.19709999999999994,0.2,0.19710000000000003,0.19710000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,396,0,10569,3953055
physics_approval_only,0.3,0.0,0.0,0.0,0.0,0.0075224567256841355,0.03364991528136956,0.007522456725684136,0.007522456725684136,0.2832348484848486,0.3,0.2832348484848485,0.2832348484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,396,0,10569,3953055
